,precision,recall,f1-score,support
0,0.7613636363636364,0.9852941176470589,0.8589743589743589,136.0
1,0.7777777777777778,0.14285714285714285,0.2413793103448276,49.0
accuracy,0.7621621621621621,0.7621621621621621,0.7621621621621621,0.7621621621621621
macro avg,0.7695707070707071,0.5640756302521008,0.5501768346595932,185.0
weighted avg,0.7657111657111657,0.7621621621621621,0.6953951298778884,185.0
