,precision,recall,f1-score,support
0,0.7555555555555555,1.0,0.8607594936708861,136.0
1,1.0,0.10204081632653061,0.18518518518518517,49.0
accuracy,0.7621621621621621,0.7621621621621621,0.7621621621621621,0.7621621621621621
macro avg,0.8777777777777778,0.5510204081632653,0.5229723394280357,185.0
weighted avg,0.8203003003003003,0.7621621621621621,0.6818235957476464,185.0
