,precision,recall,f1-score,support
0,0.7336956521739131,0.9926470588235294,0.84375,136.0
1,0.0,0.0,0.0,49.0
accuracy,0.7297297297297297,0.7297297297297297,0.7297297297297297,0.7297297297297297
macro avg,0.36684782608695654,0.4963235294117647,0.421875,185.0
weighted avg,0.5393654524089307,0.7297297297297297,0.6202702702702703,185.0
