,precision,recall,f1-score,support
0,0.7865168539325843,0.9790209790209791,0.8722741433021807,143.0
1,0.5714285714285714,0.09523809523809523,0.16326530612244897,42.0
accuracy,0.7783783783783784,0.7783783783783784,0.7783783783783784,0.7783783783783784
macro avg,0.6789727126805778,0.5371295371295371,0.5177697247123149,185.0
weighted avg,0.7376860006073489,0.7783783783783784,0.7113099748613768,185.0
