,precision,recall,f1-score,support
0,0.676829268292683,0.888,0.7681660899653979,125.0
1,0.3,0.1016949152542373,0.1518987341772152,59.0
accuracy,0.6358695652173914,0.6358695652173914,0.6358695652173914,0.6358695652173914
macro avg,0.48841463414634145,0.4948474576271187,0.4600324120713066,184.0
weighted avg,0.5559981442205727,0.6358695652173914,0.570558622620274,184.0
