,precision,recall,f1-score,support
0,0.7548387096774194,0.8540145985401459,0.8013698630136986,137.0
1,0.3103448275862069,0.19148936170212766,0.23684210526315788,47.0
accuracy,0.6847826086956522,0.6847826086956522,0.6847826086956522,0.6847826086956522
macro avg,0.5325917686318131,0.5227519801211368,0.5191059841384282,184.0
weighted avg,0.6412995115345553,0.6847826086956522,0.6571698379361148,184.0
