,precision,recall,f1-score,support
0,0.8846153846153846,0.965034965034965,0.9230769230769231,143.0
1,0.8275862068965517,0.5714285714285714,0.676056338028169,42.0
accuracy,0.8756756756756757,0.8756756756756757,0.8756756756756757,0.8756756756756757
macro avg,0.8561007957559681,0.7682317682317682,0.7995666305525461,185.0
weighted avg,0.8716682199440821,0.8756756756756757,0.8669965740388276,185.0
