,precision,recall,f1-score,support
0,0.8675496688741722,0.9632352941176471,0.9128919860627178,136.0
1,0.8529411764705882,0.5918367346938775,0.6987951807228916,49.0
accuracy,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8648648648648649
macro avg,0.8602454226723801,0.7775360144057624,0.8058435833928047,185.0
weighted avg,0.8636803925078175,0.8648648648648649,0.8561852646483854,185.0
