,precision,recall,f1-score,support
0,0.7527472527472527,0.9856115107913669,0.8535825545171339,139.0
1,0.3333333333333333,0.021739130434782608,0.04081632653061224,46.0
accuracy,0.745945945945946,0.745945945945946,0.745945945945946,0.745945945945946
macro avg,0.543040293040293,0.5036753206130747,0.4471994405238731,185.0
weighted avg,0.6484605484605485,0.745945945945946,0.6514893302610258,185.0
