,precision,recall,f1-score,support
0,0.7285714285714285,0.7445255474452555,0.7364620938628159,137.0
1,0.20454545454545456,0.19148936170212766,0.1978021978021978,47.0
accuracy,0.6032608695652174,0.6032608695652174,0.6032608695652174,0.6032608695652174
macro avg,0.46655844155844156,0.46800745457369153,0.46713214583250684,184.0
weighted avg,0.5947169678147938,0.6032608695652174,0.5988696204125493,184.0
