,precision,recall,f1-score,support
0,0.8888888888888888,0.9714285714285714,0.9283276450511946,140.0
1,0.875,0.6222222222222222,0.7272727272727273,45.0
accuracy,0.8864864864864865,0.8864864864864865,0.8864864864864865,0.8864864864864865
macro avg,0.8819444444444444,0.7968253968253969,0.8278001861619609,185.0
weighted avg,0.8855105105105106,0.8864864864864865,0.8794223947807566,185.0
