,precision,recall,f1-score,support
0,0.8807947019867549,0.9851851851851852,0.9300699300699301,135.0
1,0.9411764705882353,0.64,0.7619047619047619,50.0
accuracy,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.8918918918918919
macro avg,0.9109855862874952,0.8125925925925925,0.8459873459873459,185.0
weighted avg,0.8971140989060739,0.8918918918918919,0.8846198846198846,185.0
