,precision,recall,f1-score,support
0,0.7431693989071039,1.0,0.8526645768025078,136.0
1,1.0,0.04081632653061224,0.0784313725490196,49.0
accuracy,0.745945945945946,0.745945945945946,0.745945945945946,0.745945945945946
macro avg,0.8715846994535519,0.5204081632653061,0.4655479746757637,185.0
weighted avg,0.8111948013587359,0.745945945945946,0.6475974037840163,185.0
