,precision,recall,f1-score,support
0,0.7679558011049724,1.0,0.86875,139.0
1,1.0,0.08695652173913043,0.16,46.0
accuracy,0.772972972972973,0.772972972972973,0.772972972972973,0.772972972972973
macro avg,0.8839779005524862,0.5434782608695652,0.514375,185.0
weighted avg,0.8256532775869793,0.772972972972973,0.6925202702702703,185.0
