,precision,recall,f1-score,support
0,0.8783783783783784,0.935251798561151,0.9059233449477352,139.0
1,0.7567567567567568,0.6086956521739131,0.6746987951807228,46.0
accuracy,0.8540540540540541,0.8540540540540541,0.8540540540540541,0.8540540540540541
macro avg,0.8175675675675675,0.7719737253675321,0.7903110700642291,185.0
weighted avg,0.848137326515705,0.8540540540540541,0.8484296731137753,185.0
